2019-03-13 18:12:10 error: password is not defined
2019-03-13 18:12:43 error: ER_SP_DOES_NOT_EXIST: PROCEDURE rems.sp_insert_user does not exist
2019-03-13 18:13:46 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:14:18 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:16:22 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:18:17 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:20:43 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:22:21 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:23:21 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:23:40 error: ER_DUP_ENTRY: Duplicate entry 'retesh' for key 'name_UNIQUE'
2019-03-13 18:30:04 error: ER_DUP_ENTRY: Duplicate entry 'adsfa' for key 'name_UNIQUE'
2019-03-13 18:33:40 error: ER_DUP_ENTRY: Duplicate entry 'adsfa' for key 'name_UNIQUE'
2019-03-13 18:35:54 error: ER_DUP_ENTRY: Duplicate entry 'dafasfdas' for key 'name_UNIQUE'
2019-03-13 18:40:04 error: ER_DUP_ENTRY: Duplicate entry 'asdadfsda' for key 'name_UNIQUE'
2019-03-13 18:41:09 error: ER_DUP_ENTRY: Duplicate entry 'asdadfsda' for key 'name_UNIQUE'
2019-03-13 18:55:41 error: ER_DUP_ENTRY: Duplicate entry 'adsf' for key 'name_UNIQUE'
2019-03-13 18:57:56 error: ER_DUP_ENTRY: Duplicate entry 'das' for key 'name_UNIQUE'
2019-03-13 19:07:50 error: ER_DUP_ENTRY: Duplicate entry 'dadf' for key 'name_UNIQUE'
2019-03-13 19:08:58 error: ER_DUP_ENTRY: Duplicate entry 'dadf' for key 'name_UNIQUE'
2019-03-13 19:14:42 error: ER_DUP_ENTRY: Duplicate entry 'dadf' for key 'name_UNIQUE'
2019-03-13 19:17:14 error: ER_DUP_ENTRY: Duplicate entry 'dadf' for key 'name_UNIQUE'
2019-03-13 19:18:15 error: ER_DUP_ENTRY: Duplicate entry 'dadf' for key 'name_UNIQUE'
2019-03-13 19:18:55 error: ER_DUP_ENTRY: Duplicate entry 'dfsafsa' for key 'name_UNIQUE'
2019-03-13 19:19:29 error: ER_DUP_ENTRY: Duplicate entry 'dfsafsa' for key 'name_UNIQUE'
2019-03-13 19:20:45 error: ER_DUP_ENTRY: Duplicate entry 'dfsafsa' for key 'name_UNIQUE'
2019-03-13 19:22:13 error: ER_DUP_ENTRY: Duplicate entry 'dafasfasf' for key 'name_UNIQUE'
