2019-03-14 12:31:40 error: resourcesRepo.getAllRoles is not a function
2019-03-14 12:43:35 error: resourceId is not defined
2019-03-14 12:52:06 error: resourceId is not defined
2019-03-14 15:33:34 error: Unknown error !!!
2019-03-14 15:36:11 error: undefined
2019-03-14 17:31:08 error: ER_BAD_FIELD_ERROR: Unknown column 'p.modified_date' in 'field list'
2019-03-14 17:31:17 error: ER_BAD_FIELD_ERROR: Unknown column 'p.modified_date' in 'field list'
2019-03-14 17:32:06 error: ER_BAD_FIELD_ERROR: Unknown column 'p.modified_date' in 'field list'
2019-03-14 17:32:14 error: ER_BAD_FIELD_ERROR: Unknown column 'p.modified_date' in 'field list'
2019-03-14 17:39:54 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:40:03 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:40:50 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:41:41 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:45:07 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:45:51 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:47:35 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:48:08 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:48:46 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:49:43 error: "data" must be defined when calling jsend.fail. (jsend)
2019-03-14 17:53:21 error: "data" must be defined when calling jsend.success. (jsend)
